City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,labrador city,52.9463,-66.9114,24.95,36,40,4.63,CA,1690225512
237,vilyuchinsk,52.9306,158.4028,12.15,89,17,4.45,RU,1690225602
238,esil,51.9556,66.4042,19.59,49,60,3.57,KZ,1690225673
239,arkhangel'sk,64.5401,40.5433,11.98,95,42,2.11,RU,1690225673
240,masterton,-40.9597,175.6575,6.6,94,62,0.78,NZ,1690225673
241,kovacica,45.1117,20.6214,29.12,49,21,3.6,RS,1690225674
242,massawa,15.6097,39.45,36.99,39,100,2.37,ER,1690225674
243,obera,-27.4871,-55.1199,28.96,32,26,2.64,AR,1690225674
244,san antonio de pale,-1.4014,5.6325,22.71,85,100,4.79,GQ,1690225600
245,talnakh,69.4865,88.3972,13.45,72,90,0.82,RU,1690225453
246,brush,40.2589,-103.6238,35.62,40,0,2.06,US,1690225600
247,colonia,50.9333,6.95,18.25,85,20,2.57,DE,1690225573
248,bubaque,11.2833,-15.8333,27.48,78,100,4.9,GW,1690225675
249,port mathurin,-19.6833,63.4167,23.22,77,79,8.44,MU,1690225675
250,vorkuta,67.5,64.0,17.06,70,100,1.5,RU,1690225675
251,alekseyevskoye,55.3071,50.1135,17.06,81,100,2.4,RU,1690225675
252,isafjordur,66.0755,-23.124,10.35,93,100,2.2,IS,1690225603
253,praia da vitoria,38.7333,-27.0667,22.99,81,5,5.51,PT,1690225676
254,marsa alam,25.0757,34.8918,32.45,48,0,2.25,EG,1690225596
255,nuriootpa,-34.4833,139.0,9.34,93,0,2.77,AU,1690225676
256,palopo,-2.9996,120.1921,23.65,84,83,1.15,ID,1690225676
257,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,5.82,EC,1690225676
258,reggane,26.7158,0.1714,43.1,8,60,5.05,DZ,1690225677
259,sinabang,2.4803,96.3801,26.55,79,14,0.82,ID,1690225140
260,wad rawah,15.1603,33.1397,32.05,42,100,6.32,SD,1690225677
261,aasiaat,68.7098,-52.8699,3.81,95,99,2.65,GL,1690225677
262,halych,49.1218,24.7258,21.74,67,100,3.12,UA,1690225677
263,pleasanton,37.6624,-121.8747,31.73,49,0,3.6,US,1690225678
264,port saint john's,-31.6229,29.5448,15.0,62,26,2.54,ZA,1690225678
265,baragaon,25.4333,82.8167,30.99,84,40,2.06,IN,1690225678
266,udachny,66.4167,112.4,13.24,89,34,2.68,RU,1690225678
267,port macquarie,-31.4333,152.9167,8.83,92,17,4.04,AU,1690225530
268,ar rass,25.8694,43.4973,34.57,9,83,4.24,SA,1690225679
269,casarza ligure,44.2719,9.447,28.76,72,15,3.28,IT,1690225679
270,aberdeen,57.1437,-2.0981,13.44,70,75,4.12,GB,1690225381
271,dapa,9.7594,126.0531,28.33,74,100,5.61,PH,1690225679
272,whitehorse,60.7161,-135.0538,15.57,77,75,4.63,CA,1690225348
273,beitbridge,-22.2167,30.0,22.39,26,49,4.77,ZW,1690225680
274,cuamba,-14.8031,36.5372,20.49,40,0,1.75,MZ,1690225680
275,ghansor,22.65,79.95,24.83,88,72,1.81,IN,1690225680
276,lihue,21.9789,-159.3672,27.77,75,100,7.2,US,1690225680
277,polyarnyy,69.1989,33.4478,9.43,96,100,5.85,RU,1690225681
278,kalmunai,7.4167,81.8167,27.62,78,100,1.46,LK,1690225524
279,kyzylorda,44.8528,65.5092,31.21,22,0,2.72,KZ,1690225681
280,tocache,-8.1842,-76.5125,33.6,33,10,0.37,PE,1690225681
281,sandnessjoen,66.0217,12.6316,15.29,88,75,3.6,NO,1690225682
282,kurmuk,10.55,34.2833,22.53,86,100,1.48,SD,1690225682
283,rongelap,11.1635,166.8941,28.62,75,98,8.77,MH,1690225682
284,brookings,44.3114,-96.7984,31.92,44,0,6.17,US,1690225511
285,kotido,2.9806,34.1331,22.65,69,93,1.55,UG,1690225682
286,sibu,2.3,111.8167,24.04,94,98,0.82,MY,1690225683
287,flin flon,54.7682,-101.865,28.16,27,15,2.4,CA,1690225683
288,hilo,19.7297,-155.09,26.85,86,100,2.57,US,1690225684
289,popondetta,-8.7537,148.2534,21.93,86,97,1.12,PG,1690225684
290,belmonte,-15.8631,-38.8828,24.11,70,0,5.01,BR,1690225684
291,yaguajay,22.3272,-79.2378,31.83,58,0,6.39,CU,1690225684
292,puerto armuelles,8.2833,-82.8667,31.99,70,95,1.34,PA,1690225685
293,yefremov,53.1481,38.0992,16.61,73,14,3.97,RU,1690225685
294,kutum,14.2,24.6667,28.69,36,100,2.12,SD,1690225686
295,sao gabriel da cachoeira,-0.1303,-67.0892,28.89,89,75,2.57,BR,1690225499
296,antsiranana,-12.2787,49.2917,22.55,80,66,5.33,MG,1690225686
297,reconquista,-29.15,-59.65,13.55,78,100,4.99,AR,1690225687
298,trondheim,63.4305,10.3951,20.03,79,98,1.98,NO,1690225687
299,farafangana,-22.8167,47.8333,20.41,88,0,3.33,MG,1690225688
300,ponta delgada,37.7333,-25.6667,25.4,69,40,4.63,PT,1690225688
301,pariaman,-0.619,100.12,24.03,83,73,1.52,ID,1690225689
302,el calafate,-50.3408,-72.2768,-4.83,82,100,0.45,AR,1690225689
303,erdenet,49.0333,104.0833,14.18,72,100,1.47,MN,1690225689
304,beckley,37.7782,-81.1882,30.31,54,0,2.24,US,1690225576
305,cumberland,35.0502,-78.8664,32.15,66,40,2.06,US,1690225690
306,bengkulu,-3.8004,102.2655,23.58,86,20,1.84,ID,1690225399
307,sonoma,38.55,-122.9011,34.17,49,0,3.09,US,1690225691
308,manteno,41.2506,-87.8314,30.98,56,40,3.09,US,1690225691
309,kalpatta,11.6106,76.0822,19.47,98,100,1.09,IN,1690225692
310,tazovsky,67.4667,78.7,14.56,92,83,2.72,RU,1690225692
311,colchani,-20.3,-66.9333,10.49,20,0,5.75,BO,1690225692
312,ostend,51.2234,2.9119,16.86,71,75,4.12,BE,1690225692
313,singaraja,-8.112,115.0882,24.06,81,84,1.88,ID,1690225693
314,claveria,18.6074,121.0832,27.42,87,100,5.94,PH,1690225693
315,marsh harbour,26.5412,-77.0636,30.24,66,1,2.96,BS,1690225529
316,mount gambier,-37.8333,140.7667,9.18,80,85,0.34,AU,1690225646
317,qaqortoq,60.7167,-46.0333,7.14,87,81,3.34,GL,1690225694
318,puerto princesa,9.7392,118.7353,25.96,89,100,3.27,PH,1690225694
319,tocopilla,-22.092,-70.1979,19.79,67,1,4.28,CL,1690225313
320,keren,15.7778,38.4581,26.73,52,99,1.3,ER,1690225694
321,souillac,-20.5167,57.5167,23.21,83,75,4.63,MU,1690225673
